mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
8	8	42	42	6.0	0	0	Chord	3/2	5	3	3/2	1	3/2	212						
8	8	42	42	6.0	0	0	Chord	3/2	6	1	3/2	1	3/2	213						
8	8	42	42	6.0	0	0	Chord	3/2	6	2	3/2	1	3/2	214						
8	8	42	42	6.0	0	0	Chord	3/2	7	1	3/2	1	3/2	215						
8	8	42	42	6.0	0	0	Chord	3/2	8	1	3/2	1	3/2	216						
9	9	48	48	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	217						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	218						
9	9	52	52	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	219						
9	9	48	48	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	220						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	221						
9	9	52	52	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	222						
9	9	48	48	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	223						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	224						
9	9	52	52	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	225						
9	9	48	48	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	226						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	227						
9	9	52	52	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	228						
9	9	48	48	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	229						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	230						
9	9	52	52	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	231						
9	9	48	48	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	232						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	233						
9	9	52	52	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	234						
9	9	48	48	4.0	0	0	Chord	3/2	6	1	1	1	1	235						
9	9	52	52	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	236						
9	9	48	48	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	237						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	238						
9	9	52	52	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	239						
9	9	48	48	0.0	0	0	FiguredBass	3/2	7	1	0					1/2	2			
9	9	48	48	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	240						
9	9	50	50	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	6			
9	9	50	50	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	241						
9	9	52	52	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	242						
9	9	48	48	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	243						
9	9	50	50	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	244						
9	9	52	52	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	245						
10	10	54	54	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	246						
10	10	56	56	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	247						
10	10	58	58	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	248						
10	10	54	54	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	249						
10	10	56	56	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	250						
10	10	58	58	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	251						
10	10	54	54	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	252						
10	10	56	56	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	253						
10	10	58	58	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	254						
10	10	54	54	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	255						
10	10	56	56	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	256						
10	10	58	58	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	257						
10	10	54	54	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	258						
10	10	56	56	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	259						
10	10	58	58	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	260						
10	10	54	54	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	261						
10	10	56	56	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	262						
10	10	58	58	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	263						
10	10	54	54	4.0	0	0	Chord	3/2	6	1	1	1	1	264						
10	10	58	58	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	265						
10	10	54	54	4.0	0	0	Chord	3/2	6	2	1	1	1	266						
10	10	58	58	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	267						
10	10	54	54	0.0	0	0	FiguredBass	3/2	7	1	0					1/2	6	4		
10	10	54	54	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	268						
10	10	56	56	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	5	h		
10	10	56	56	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	269						
10	10	58	58	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	6	b		
10	10	58	58	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	270						
10	10	54	54	4.0	0	0	Chord	3/2	8	1	1	1	1	271						
10	10	58	58	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	272						
11	11	60	60	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	273						
11	11	62	62	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	274						
11	11	64	64	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	275						
11	11	60	60	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	276						
11	11	62	62	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	277						
11	11	64	64	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	278						
11	11	60	60	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	279						
11	11	62	62	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	280						
11	11	64	64	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	281						
11	11	60	60	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	282						
11	11	62	62	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	283						
11	11	64	64	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	284						
11	11	60	60	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	285						
11	11	62	62	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	286						
11	11	64	64	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	287						
11	11	60	60	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	288						
11	11	62	62	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	289						
11	11	64	64	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	290						
11	11	60	60	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	291						
11	11	62	62	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	292						
11	11	64	64	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	293						
11	11	60	60	4.0	0	0	Chord	3/2	6	2	1	1	1	294						
11	11	64	64	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	295						
11	11	60	60	0.0	0	0	FiguredBass	3/2	7	1	0					1/2	7			
