mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
8	8	42	42	6.0	0	0	Chord	3/2	6	1	3/2	1	3/2	181						
8	8	42	42	6.0	0	0	Chord	3/2	7	1	3/2	1	3/2	182						
8	8	42	42	6.0	0	0	Chord	3/2	8	1	3/2	1	3/2	183						
9	9	48	48	4.0	0	0	Chord	3/2	1	1	1	1	1	184						
9	9	52	52	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	185						
9	9	48	48	4.0	0	0	Chord	3/2	2	1	1	1	1	186						
9	9	52	52	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	187						
9	9	48	48	4.0	0	0	Chord	3/2	3	1	1	1	1	188						
9	9	52	52	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	189						
9	9	48	48	4.0	0	0	Chord	3/2	4	1	1	1	1	190						
9	9	52	52	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	191						
9	9	48	48	4.0	0	0	Chord	3/2	5	1	1	1	1	192						
9	9	52	52	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	193						
9	9	48	48	4.0	0	0	Chord	3/2	5	2	1	1	1	194						
9	9	52	52	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	195						
9	9	48	48	4.0	0	0	Chord	3/2	5	3	1	1	1	196						
9	9	52	52	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	197						
9	9	48	48	4.0	0	0	Chord	3/2	6	1	1	1	1	198						
9	9	52	52	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	199						
9	9	48	48	4.0	0	0	Chord	3/2	7	1	1	1	1	200						
9	9	52	52	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	201						
9	9	48	48	4.0	0	0	Chord	3/2	8	1	1	1	1	202						
9	9	52	52	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	203						
